﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3SsXxuvEu20CnDg7LUNFDY","Solêr","Otto Totland","Pinô","1","4","155880","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:2erBrCFQNgGeMKVta0XVcJ","Crossing Over","Les Clouds","Crossing Over","1","1","240000","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:4WKJm0usdFOUQH5Y574WtZ","La Lluvia","Relajar","La Lluvia","1","1","198709","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:5jxBweBbPFg53Ozudm6HrC","Faded Dreams","Aaron Lansing","Faded Dreams","1","1","111803","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:14MR12RkIvXHeqgaJI0ngI","Two","Binary One","Minimalia","1","3","188731","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:2tl1FkMOJBxILCVsIWO5gg","Closer","Dream Runner","Magica","1","2","126069","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:7gi7v5tKoJ1R7yunvDeU5F","Deep Forest - Cello Version","Christopher Varela","Deep Forest (Strings Version)","1","1","112843","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:4pR77cbN8yZzk4mgMb8aHu","Sleepers Beat Theme","Ben Lukas Boysen","Late Night Tales: Jon Hopkins","1","1","277223","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:5O5ADm6Aj2z5EvuT4JdT0l","Lunar Symphony","Coyote Oldman","Tear of the Moon","1","4","390560","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:5G9rra29bm2HtXcyDtRf1y","Finding It There","Goldmund","The Malady Of Elegance","1","3","220186","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:1oen1dD68x1ZUOhy6WePRG","Worlds Apart","Rick Hagen","Forever Vanished","1","2","99737","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:2jhrGvTh7nalekgaCk4gTP","Wings of Glass","La Reve","Wings of Glass","1","1","175681","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:2XEDcR9jHaHJD97TdjjNpF","Dawning","Lights From A Distance","Dawning","1","1","167746","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:0tW204RLJbX8oocTStcA7U","Inner Journey","Deep Sleep","Sleep Music: Lullabies to Help You Relax, Sleep, Meditate and Heal With Relaxing Piano Music, Nature Sounds and Natural Noise","1","13","153992","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:7Jd0MqZq15T4pDWts2G6Yl","Emerald and Stone","Brian Eno, Jon Hopkins, Leo Abrahams","Small Craft On A Milk Sea","1","13","132306","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:5ff6FedsqhgHlRImvYsAwj","Beyond Voyager - Ambient Mix","Nucleus A.D.","Beyond Voyager","1","2","217603","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:5HkfFg7ndFJ9DBIqX4fbhY","Sobraon Occasional","By Lotus","To Be Still","1","5","200175","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:2MZSXhq4XDJWu6coGoXX1V","Avril 14th","Aphex Twin","Drukqs","1","9","125520","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:2TOQzMaEqVVhdeheBVLOMm","The Giant","Dilia","The Giant","1","1","183686","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:1DyJAS494qP85WAzYKHmr1","Degrees Of Separation","Trevor Kowalski","Degrees Of Separation","1","2","212863","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:2JJz0U0hlpYZC3jD0nzjYi","Luna","Ebb & Flod","Luna","1","3","149632","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:59jDSGDLBUjDB8fr2BgoT2","Dorotea","Hushed","In Dreams","1","4","205000","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:1sGpjDlrzobaQW6nUPmVIR","An Ending (Ascent)","Brian Eno","Pure Cinema Chillout","1","19","261493","spotify:user:","2019-01-10T22:30:48Z"
